company_name,symbol,com_id,sector,book_value,eps_value,cagr
Agriculture Development Bank Limited,ADBL,10101,101,213.41,28.04,17.8
Bank of Kathmandu Ltd,BOKL,10102,101,162.75,17.54,
Century Commercial Bank Ltd,CCBL,10103,101,115.04,10.42,
Citizen Bank International Limited,CZBIL,10104,101,129.56,16.76,
Civil Bank Ltd,CBL,10105,101,126.3,6.43,
Everest Bank Limited,EBL,10106,101,171.97,29.57,34.7
Global IME Bank Limited,GBIME,10107,101,,,
Himalayan Bank Limited,HBL,10108,101,164.11,26.48,27.42
Janata Bank Nepal Ltd.,JBNL,10109,101,117.13,9.59,
Kumari Bank Limited,KBL,10110,101,139.26,13.13,14.5
Laxmi Bank Limited,LBL,10111,101,,,
Machhapuchhre Bank Limited,MBL,10112,101,122.26,13.49,
Mega Bank Nepal Ltd.,MEGA,10113,101,119.51,7.54,
Nabil Bank Limited,NABIL,10114,101,258.06,47.65,21.6
Nepal Bangladesh Bank Limited,NBB,10115,101,137.87,11.71,
Nepal Bank Limited,NBL,10116,101,174.31,42.57,0
Nepal Credit And Commercial Bank Limited,NCCB,10117,101,,,
Nepal Investment Bank Limited,NIB,10118,101,202.58,35.55,
Nepal SBI Bank Limited,SBI,10119,101,,,
NIC Asia Bank Ltd.,NICA,10120,101,,,
NMB Bank Limited,NMB,10121,101,,,
Prabhu Bank Limited,PRVU,10122,101,,,
Prime Commercial Bank Ltd.,PCBL,10123,101,,,
Sanima Bank Limited,SANIMA,10124,101,,,
Siddhartha Bank Limited,SBL,10125,101,,,
Standard Chartered Bank Limited,SCB,10126,101,,,
Sunrise Bank Limited,SRBL,10127,101,,,
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBILD80/81,10301,103,,,
NIC Asia Debenture 2085/86,NICAD 85/86,10302,103,,,
Sanima Bank Limited Debenture,SAND2085,10303,103,,,
Bhargav Bikash Bank Ltd.,BHBL,102,10201,,,
Corporate Development Bank Limited,CORBL,102,10202,,,
Deva Bikas Bank Limited,DBBL,102,10203,,,
Excel Development Bank Ltd.,EDBL,102,10204,,,
Gandaki Bikas Bank Limited,GDBL,102,10205,,,
Garima Bikas Bank Limited,GBBL,102,10206,,,
Green Development Bank Ltd.,GRDBL,102,10207,,,
Hamro Bikas Bank Ltd.,HAMRO,102,10208,,,
Jyoti Bikas Bank Limited,JBBL,102,10209,,,
Kabeli Bikas Bank Limited,KEBL,102,10210,,,
Kailash Bikas Bank Ltd.,KBBL,102,10211,,,
Kamana Sewa Bikas Bank Limited,KSBBL,102,10212,,,
Kanchan Development Bank Limited,KADBL,102,10213,,,
Kankai Bikas Bank Ltd.,KNBL,102,10214,,,
Karnali Development Bank Limited,KRBL,102,10215,,,
Lumbini Bikas Bank Ltd.,LBBL,102,10216,,,
Mahalaxmi Bikas Bank Ltd.,MLBL,102,10217,,,
Mission Development Bank Ltd.,MIDBL,102,10218,,,
Miteri Development Bank Limited,MDB,102,10219,,,
Muktinath Bikas Bank Ltd.,MNBBL,102,10220,,,
Narayani Development Bank Limited,NABBC,102,10221,,,
Nepal Community Development Bank Ltd.,NCDB,102,10222,,,
NIDC Development Bank Ltd.,NIDC,102,10223,,,
Om Development Bank Ltd.,ODBL,102,10224,,,
Purnima Bikas Bank Ltd.,PURBL,102,10225,,,
Sahara Bikas Bank Ltd.,SHBL,102,10226,,,
Sahayogi Bikas Bank Limited,SBBLJ,102,10227,,,
Saptakoshi Development Bank Ltd.,SKDBL,102,10228,,,
Shangrila Development Bank Ltd.,SADBL,102,10229,,,
Shine Resunga Development Bank Ltd.,SHINE,102,10230,,,
Sindhu Bikash Bank Ltd,SINDU,102,10231,,,
Tinau Development Bank Limited,TNBL,102,10232,,,
Western Development Bank Limited,WDBL,102,10233,,,
